                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.88766,                0.58002,                 1.1299,                0.90771,                0.66648,                0.79237,                0.61551,                0.99972,                0.59478,                 1.1469,             0.00025194,             0.00025194,             0.00025194
                     71,                0.87906,                0.57374,                 1.1306,                0.90707,                0.65968,                0.78779,                0.61477,                0.99632,                 0.5931,                 1.1463,             0.00023781,             0.00023781,             0.00023781
                     72,                0.88879,                0.57613,                 1.1298,                0.90224,                 0.6633,                0.78768,                0.61083,                0.99622,                0.59417,                 1.1472,             0.00022399,             0.00022399,             0.00022399
                     73,                0.87049,                0.56492,                 1.1265,                0.90634,                0.67715,                0.79792,                0.62005,                0.99136,                0.58818,                 1.1479,             0.00021051,             0.00021051,             0.00021051
                     74,                0.86997,                0.56213,                 1.1241,                0.91161,                0.67701,                 0.7994,                0.62123,                 0.9914,                0.59472,                 1.1474,             0.00019737,             0.00019737,             0.00019737
                     75,                0.87109,                0.56696,                 1.1266,                0.90599,                0.67419,                0.79638,                0.62078,                 0.9908,                0.59052,                 1.1466,             0.00018459,             0.00018459,             0.00018459
                     76,                0.86504,                0.56052,                 1.1213,                0.91207,                0.67207,                0.79657,                0.62067,                0.99007,                0.59109,                 1.1466,             0.00017219,             0.00017219,             0.00017219
                     77,                0.86433,                0.55982,                 1.1177,                0.90849,                0.67923,                0.79957,                0.62306,                0.98749,                0.58712,                 1.1437,             0.00016016,             0.00016016,             0.00016016
                     78,                0.86303,                 0.5566,                 1.1163,                0.90974,                0.67791,                0.79943,                0.62363,                0.98722,                0.59068,                 1.1427,             0.00014854,             0.00014854,             0.00014854
                     79,                0.86091,                0.55261,                 1.1166,                0.90398,                0.68445,                0.80072,                0.62327,                0.99004,                 0.5883,                 1.1428,             0.00013732,             0.00013732,             0.00013732
