                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1384,                0.59224,                 1.0885,                0.38832,                0.42207,                0.30396,                0.16334,                 1.5616,                 2.8247,                 1.3124,             0.00061854,             0.00061854,             0.00061854
                     72,                 1.1435,                0.61188,                 1.1237,                0.38275,                0.43332,                0.32838,                0.17843,                 1.5494,                  2.752,                 1.3135,             0.00060707,             0.00060707,             0.00060707
                     73,                  1.135,                0.59368,                 1.0794,                0.41907,                0.39994,                 0.3244,                0.18175,                 1.5345,                 2.7852,                 1.3158,             0.00059559,             0.00059559,             0.00059559
                     74,                 1.0966,                0.57536,                 1.0918,                0.41735,                0.37043,                0.33363,                0.18297,                 1.5898,                 2.7087,                 1.3478,             0.00058408,             0.00058408,             0.00058408
                     75,                 1.1076,                0.56961,                 1.0756,                0.39024,                 0.3908,                0.30503,                0.16568,                 1.5786,                 2.7647,                 1.3331,             0.00057257,             0.00057257,             0.00057257
                     76,                 1.1094,                0.56258,                 1.0935,                0.41002,                0.38588,                0.32922,                0.18076,                 1.5723,                 2.8329,                 1.3143,             0.00056106,             0.00056106,             0.00056106
                     77,                  1.126,                0.57641,                 1.0572,                0.39442,                 0.4035,                 0.3157,                0.17321,                 1.5905,                 2.8276,                 1.3291,             0.00054954,             0.00054954,             0.00054954
                     78,                 1.1246,                0.60263,                 1.0889,                0.42082,                0.42208,                 0.3301,                 0.1863,                 1.6102,                 2.7746,                 1.3453,             0.00053803,             0.00053803,             0.00053803
                     79,                 1.1383,                 0.5764,                 1.0757,                0.39263,                0.42954,                0.31108,                0.17401,                 1.5712,                 2.8777,                 1.3352,             0.00052652,             0.00052652,             0.00052652
                     80,                 1.0794,                0.55468,                 1.0575,                0.39815,                0.41632,                0.31321,                0.17428,                 1.5248,                  2.871,                 1.3064,             0.00051504,             0.00051504,             0.00051504
                     81,                 1.0747,                0.55832,                  1.057,                0.40616,                0.39065,                0.30593,                0.16575,                 1.5995,                 2.9192,                 1.3616,             0.00050357,             0.00050357,             0.00050357
                     82,                  1.089,                0.55178,                 1.0593,                0.39397,                0.39278,                0.30424,                0.17072,                 1.5515,                 2.9092,                 1.3237,             0.00049213,             0.00049213,             0.00049213
                     83,                 1.0742,                  0.556,                 1.0567,                0.42722,                0.38033,                0.30883,                0.17226,                 1.5316,                 2.9539,                 1.3049,             0.00048072,             0.00048072,             0.00048072
                     84,                 1.0693,                0.54347,                 1.0437,                0.39774,                0.40792,                0.31471,                0.17638,                 1.5277,                 2.8799,                 1.3113,             0.00046934,             0.00046934,             0.00046934
                     85,                 1.0681,                0.56718,                 1.0656,                0.41123,                0.39501,                0.31297,                0.16811,                  1.573,                 2.9011,                 1.3272,             0.00045801,             0.00045801,             0.00045801
                     86,                 1.0564,                0.54519,                 1.0448,                0.37377,                0.42563,                0.29727,                0.16642,                 1.5324,                 2.9125,                 1.3056,             0.00044672,             0.00044672,             0.00044672
                     87,                 1.0245,                0.53844,                  1.051,                 0.4067,                0.40212,                0.31702,                0.17621,                 1.5748,                 2.7658,                  1.327,             0.00043547,             0.00043547,             0.00043547
                     88,                   1.05,                0.56485,                 1.0685,                0.38727,                0.38727,                0.30253,                0.16782,                 1.5407,                 2.8757,                 1.3275,             0.00042429,             0.00042429,             0.00042429
                     89,                 1.0878,                 0.5627,                 1.0728,                0.40326,                0.37394,                 0.3015,                0.16206,                 1.5841,                 2.9105,                 1.3627,             0.00041316,             0.00041316,             0.00041316
                     90,                  1.056,                0.53804,                 1.0539,                0.39105,                0.39303,                0.31396,                0.17652,                 1.5368,                 2.8744,                 1.3142,              0.0004021,              0.0004021,              0.0004021
                     91,                 1.0773,                 0.5299,                 1.0419,                0.40187,                0.40021,                0.31051,                0.17287,                 1.5255,                 2.8363,                 1.3299,             0.00039111,             0.00039111,             0.00039111
                     92,                  1.077,                0.52288,                 1.0469,                0.42463,                0.36618,                0.31206,                0.17266,                 1.5606,                 2.8582,                 1.3417,              0.0003802,              0.0003802,              0.0003802
                     93,                 1.0517,                0.52401,                 1.0268,                0.40263,                0.38806,                0.30965,                0.17326,                 1.5284,                 2.9398,                  1.314,             0.00036936,             0.00036936,             0.00036936
                     94,                0.99789,                0.50437,                 1.0402,                0.40054,                0.43163,                 0.3233,                0.18021,                 1.5304,                 2.8369,                  1.306,             0.00035861,             0.00035861,             0.00035861
                     95,                 1.0232,                0.54511,                 1.0386,                0.39633,                0.39915,                0.30536,                0.16738,                 1.5817,                 2.8249,                 1.3501,             0.00034794,             0.00034794,             0.00034794
                     96,                 1.0336,                0.53243,                 1.0376,                0.41496,                0.39132,                0.30849,                0.17454,                 1.5562,                 2.8115,                 1.3354,             0.00033737,             0.00033737,             0.00033737
                     97,                 1.0265,                0.54539,                 1.0755,                0.41709,                0.39326,                0.32151,                0.17995,                 1.5759,                  2.765,                 1.3449,              0.0003269,              0.0003269,              0.0003269
                     98,                 1.0047,                0.52046,                 1.0418,                0.41559,                0.37138,                0.31813,                0.18193,                 1.5328,                 2.8707,                 1.3303,             0.00031653,             0.00031653,             0.00031653
                     99,                0.94531,                0.48255,                 1.0123,                0.41954,                0.38693,                0.32769,                0.18306,                 1.5444,                 2.8291,                 1.3371,             0.00030627,             0.00030627,             0.00030627
                    100,                0.99096,                 0.5114,                 1.0228,                0.43299,                0.38099,                0.32983,                0.18932,                 1.5065,                 2.7837,                 1.3111,             0.00029612,             0.00029612,             0.00029612
                    101,                 1.0045,                0.50576,                 1.0127,                0.41812,                0.39514,                0.32224,                0.18023,                 1.5345,                 2.8179,                  1.328,             0.00028608,             0.00028608,             0.00028608
                    102,                0.99371,                0.50176,                 1.0266,                0.40093,                 0.4276,                 0.3322,                0.19425,                 1.5205,                 2.8083,                 1.3196,             0.00027617,             0.00027617,             0.00027617
                    103,                0.93277,                0.48982,                 1.0083,                0.41065,                0.42089,                0.31907,                0.18221,                 1.5342,                 2.8298,                 1.3272,             0.00026638,             0.00026638,             0.00026638
                    104,                0.98698,                 0.5128,                 1.0152,                0.39325,                 0.4105,                0.31175,                0.17315,                 1.5469,                   2.97,                 1.3396,             0.00025672,             0.00025672,             0.00025672
                    105,                0.94041,                0.48497,                 1.0209,                 0.3987,                0.42195,                0.31937,                0.18478,                 1.5372,                 2.8952,                  1.336,             0.00024719,             0.00024719,             0.00024719
                    106,                0.94576,                0.48298,                 1.0133,                0.39827,                0.42039,                0.32113,                0.18165,                 1.5499,                 2.8706,                 1.3439,             0.00023781,             0.00023781,             0.00023781
                    107,                0.93258,                0.47755,                0.99775,                0.39737,                0.41627,                 0.3212,                0.18417,                 1.5522,                 2.8584,                 1.3439,             0.00022856,             0.00022856,             0.00022856
                    108,                0.94264,                0.49838,                0.98378,                0.41399,                 0.3974,                0.32168,                0.18355,                  1.562,                 2.8256,                 1.3506,             0.00021946,             0.00021946,             0.00021946
                    109,                0.94305,                0.50127,                0.99873,                 0.4054,                0.41315,                0.33058,                0.19258,                 1.4991,                 2.8128,                 1.3135,             0.00021051,             0.00021051,             0.00021051
                    110,                0.94343,                0.48707,                 1.0277,                 0.4031,                0.41467,                0.33156,                0.19054,                 1.5241,                 2.8289,                 1.3294,             0.00020171,             0.00020171,             0.00020171
                    111,                0.91829,                0.47748,                0.98288,                0.41143,                 0.4124,                0.32556,                0.18705,                 1.5371,                 2.8424,                 1.3414,             0.00019307,             0.00019307,             0.00019307
                    112,                0.90501,                0.46457,                0.98587,                0.41064,                0.39738,                0.32179,                0.18669,                 1.5343,                 2.8602,                 1.3422,             0.00018459,             0.00018459,             0.00018459
                    113,                0.92881,                0.47297,                 1.0099,                0.42042,                0.38716,                0.32227,                0.18754,                 1.5208,                 2.8719,                 1.3323,             0.00017628,             0.00017628,             0.00017628
                    114,                0.92382,                0.47556,                0.99804,                0.41336,                0.38257,                0.31637,                0.18079,                 1.5464,                 2.9698,                 1.3484,             0.00016813,             0.00016813,             0.00016813
                    115,                0.93501,                0.48417,                  1.006,                0.40589,                0.41395,                0.32279,                0.18836,                 1.5042,                 2.8817,                 1.3164,             0.00016016,             0.00016016,             0.00016016
                    116,                0.91008,                0.45629,                0.96913,                0.40015,                0.40873,                0.31292,                0.17681,                 1.5312,                 2.9128,                 1.3413,             0.00015237,             0.00015237,             0.00015237
                    117,                0.92666,                0.46513,                0.98178,                0.40514,                0.41391,                 0.3224,                 0.1884,                 1.5201,                    2.9,                 1.3266,             0.00014475,             0.00014475,             0.00014475
                    118,                0.89156,                  0.458,                0.98623,                0.38597,                0.40445,                0.30983,                0.17771,                 1.5385,                 2.9782,                  1.346,             0.00013732,             0.00013732,             0.00013732
                    119,                  0.916,                0.45443,                0.99816,                0.39296,                0.40543,                0.31717,                0.18396,                  1.524,                 2.9184,                  1.328,             0.00013007,             0.00013007,             0.00013007
                    120,                 0.9176,                0.46648,                0.98393,                0.42194,                 0.3639,                0.30889,                0.17784,                 1.5447,                 2.9856,                 1.3497,             0.00012301,             0.00012301,             0.00012301
                    121,                0.89241,                 0.4645,                 1.0006,                 0.3942,                0.41326,                0.32112,                0.18424,                 1.5301,                  2.906,                 1.3353,             0.00011614,             0.00011614,             0.00011614
                    122,                0.89096,                0.45729,                0.96055,                0.40355,                 0.4128,                0.31704,                0.18238,                 1.5365,                  2.852,                  1.347,             0.00010947,             0.00010947,             0.00010947
                    123,                0.87888,                0.46344,                0.96619,                0.41181,                0.41074,                 0.3186,                0.18493,                 1.5135,                 2.8386,                 1.3381,             0.00010299,             0.00010299,             0.00010299
                    124,                0.87232,                0.45401,                0.96211,                0.40221,                0.42534,                0.32118,                0.18754,                 1.5127,                 2.8401,                 1.3413,             9.6721e-05,             9.6721e-05,             9.6721e-05
                    125,                0.89532,                0.45398,                0.95786,                0.40335,                0.41768,                0.31868,                0.18199,                 1.5241,                 2.9098,                  1.351,             9.0652e-05,             9.0652e-05,             9.0652e-05
                    126,                0.86428,                0.44641,                0.98034,                0.40468,                 0.4187,                0.32424,                0.18876,                 1.5115,                 2.8767,                 1.3407,             8.4789e-05,             8.4789e-05,             8.4789e-05
                    127,                0.88938,                0.45078,                0.97121,                0.40568,                0.41687,                0.31956,                0.18369,                 1.5173,                  2.904,                 1.3441,             7.9135e-05,             7.9135e-05,             7.9135e-05
                    128,                0.83257,                0.44368,                0.98075,                   0.41,                0.41724,                0.32234,                0.18574,                 1.5149,                 2.8864,                 1.3393,             7.3692e-05,             7.3692e-05,             7.3692e-05
                    129,                0.90313,                0.45831,                0.98459,                0.40154,                0.42089,                0.32177,                0.18391,                 1.5173,                 2.9277,                 1.3413,             6.8463e-05,             6.8463e-05,             6.8463e-05
                    130,                0.88842,                0.46935,                 1.0031,                 0.4024,                0.41793,                0.32195,                0.18582,                 1.5075,                 2.9227,                 1.3359,              6.345e-05,              6.345e-05,              6.345e-05
                    131,                0.84498,                0.43836,                0.97366,                0.40767,                0.41608,                0.32429,                0.18839,                 1.5193,                 2.9151,                 1.3487,             5.8655e-05,             5.8655e-05,             5.8655e-05
                    132,                0.87545,                0.45529,                0.96517,                0.39682,                0.42754,                0.32331,                0.18525,                 1.5161,                 2.9159,                 1.3505,             5.4081e-05,             5.4081e-05,             5.4081e-05
                    133,                0.86705,                0.45511,                0.97526,                0.39806,                0.42764,                0.32395,                0.18662,                  1.511,                 2.8993,                 1.3442,             4.9729e-05,             4.9729e-05,             4.9729e-05
                    134,                0.84361,                0.45163,                0.96766,                0.40446,                0.42631,                0.32659,                0.18738,                 1.5265,                 2.9023,                 1.3517,             4.5601e-05,             4.5601e-05,             4.5601e-05
                    135,                0.85292,                0.44399,                0.97137,                0.40409,                0.42364,                0.32177,                0.18625,                  1.525,                 2.9234,                 1.3505,               4.17e-05,               4.17e-05,               4.17e-05
                    136,                0.83013,                0.43905,                0.95578,                0.40515,                0.42028,                 0.3181,                0.18429,                 1.5224,                 2.9328,                  1.349,             3.8026e-05,             3.8026e-05,             3.8026e-05
                    137,                0.85174,                0.44135,                0.95456,                0.40543,                0.42327,                0.31922,                0.18478,                 1.5235,                 2.9348,                 1.3491,             3.4582e-05,             3.4582e-05,             3.4582e-05
                    138,                0.81635,                0.42715,                0.95477,                0.40842,                0.42207,                0.31847,                0.18447,                  1.527,                 2.9404,                 1.3505,             3.1369e-05,             3.1369e-05,             3.1369e-05
                    139,                0.84513,                0.44092,                0.95432,                  0.408,                0.42172,                0.31719,                0.18481,                 1.5298,                 2.9404,                  1.355,             2.8388e-05,             2.8388e-05,             2.8388e-05
                    140,                0.84315,                0.44231,                0.95118,                0.40745,                0.41406,                0.31635,                0.18424,                 1.5263,                 2.9382,                 1.3548,              2.564e-05,              2.564e-05,              2.564e-05
                    141,                0.79991,                0.42708,                0.93663,                0.40744,                0.41121,                0.31582,                0.18265,                 1.5251,                 2.9498,                 1.3576,             2.3128e-05,             2.3128e-05,             2.3128e-05
                    142,                0.77923,                0.39297,                0.94189,                0.40763,                0.40934,                 0.3133,                0.18076,                 1.5257,                 2.9554,                 1.3603,             2.0851e-05,             2.0851e-05,             2.0851e-05
                    143,                 0.8165,                0.40381,                0.99013,                0.40604,                0.40529,                0.31226,                0.17954,                 1.5334,                 2.9619,                 1.3653,             1.8811e-05,             1.8811e-05,             1.8811e-05
                    144,                0.78324,                0.39844,                 0.9243,                0.40581,                0.40921,                0.31193,                0.17865,                 1.5342,                 2.9674,                 1.3656,              1.701e-05,              1.701e-05,              1.701e-05
                    145,                0.78777,                0.38476,                0.95286,                 0.4089,                0.40436,                0.31191,                 0.1785,                 1.5323,                 2.9612,                 1.3647,             1.5446e-05,             1.5446e-05,             1.5446e-05
                    146,                0.77181,                0.38223,                 0.9348,                0.40744,                0.39993,                0.31195,                0.17905,                 1.5298,                 2.9736,                 1.3662,             1.4123e-05,             1.4123e-05,             1.4123e-05
                    147,                0.78426,                0.38814,                0.93817,                0.40921,                0.40302,                0.31355,                0.17909,                 1.5312,                 2.9739,                 1.3678,             1.3039e-05,             1.3039e-05,             1.3039e-05
                    148,                0.79271,                0.38917,                0.92732,                0.40628,                0.40629,                0.31147,                0.17933,                 1.5335,                 2.9719,                 1.3699,             1.2195e-05,             1.2195e-05,             1.2195e-05
